Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
H1 Eight Extra Large,h1.8xlarge,h1,97 units,Yes,x86_64,," $1,709.660 "," $1,016.890 "," $1,167.124 "," $2,784.22 "
HPC6A 48xlarge,hpc6a.48xlarge,hpc6a,0 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
HPC6ID 32xlarge,hpc6id.32xlarge,hpc6id,0 units,Yes,x86_64,, unavailable , unavailable , unavailable , unavailable 
HPC7A 12xlarge Extra Large,hpc7a.12xlarge,hpc7a,0 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
HPC7A 24xlarge,hpc7a.24xlarge,hpc7a,0 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
HPC7A 48xlarge,hpc7a.48xlarge,hpc7a,0 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
HPC7A 96xlarge,hpc7a.96xlarge,hpc7a,0 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
HPC7G 16xlarge Extra Large,hpc7g.16xlarge,hpc7g,0 units,unknown,arm64,," $1,228.736 ", $967.615 , unavailable , unavailable 
HPC7G Quadruple Extra Large,hpc7g.4xlarge,hpc7g,0 units,unknown,arm64,," $1,228.736 ", $967.615 , unavailable , unavailable 
HPC7G Eight Extra Large,hpc7g.8xlarge,hpc7g,0 units,unknown,arm64,," $1,228.736 ", $967.615 , unavailable , unavailable 
High Storage Eight Extra Large,hs1.8xlarge,hs1,35 units,unknown,x86_64,," $3,358.000 ", unavailable , unavailable ," $3,599.63 "
I2 Double Extra Large,i2.2xlarge,i2,27 units,Yes,x86_64,," $1,369.480 ", $680.360 , $538.521 ," $1,562.93 "
I2 Quadruple Extra Large,i2.4xlarge,i2,53 units,Yes,x86_64,," $2,738.230 "," $1,361.450 "," $1,176.322 "," $3,124.40 "
I2 Eight Extra Large,i2.8xlarge,i2,104 units,Yes,x86_64,," $4,978.600 "," $2,476.160 "," $2,186.204 "," $5,680.86 "
I2 Large,i2.large,i2,7 units,Yes,x86_64,, $341.640 , unavailable , unavailable , unavailable 
I2 Extra Large,i2.xlarge,i2,14 units,Yes,x86_64,, $684.740 , $309.520 , $261.121 , $781.10 
I3 High I/O 16xlarge Extra Large,i3.16xlarge,i3,201 units,Yes,x86_64,," $3,644.160 "," $2,501.710 "," $1,717.690 "," $5,793.28 "
I3 High I/O Double Extra Large,i3.2xlarge,i3,31 units,Yes,x86_64,, $500.780 , $312.440 , $322.660 , $769.42 
